original_id,new_id
41,0
43,1
343,2
438,3
470,4
481,5
650,6
712,7
767,8
927,9
1081,10
1112,11
1119,12
1131,13
1197,14
1220,15
1260,16
1269,17
1354,18
1479,19
1497,20
1752,21
1766,22
1787,23
1862,24
1982,25
1986,26
2116,27
2190,28
2225,29
2301,30
2308,31
2346,32
2466,33
2495,34
2499,35
2596,36
2749,37
2804,38
2992,39
3002,40
3012,41
3060,42
3064,43
3134,44
3135,45
3300,46
3367,47
3424,48
3440,49
3441,50
3445,51
3724,52
3852,53
4152,54
4249,55
4314,56
4457,57
4472,58
4479,59
4675,60
4687,61
4946,62
4971,63
5711,64
5840,65
5889,66
5920,67
5971,68
6074,69
6084,70
6090,71
6096,72
6165,73
6242,74
6252,75
6277,76
6358,77
6436,78
6474,79
6476,80
6604,81
6634,82
6708,83
6768,84
6777,85
6924,86
6941,87
6973,88
7000,89
7010,90
7018,91
7046,92
7240,93
7262,94
7292,95
7733,96
8057,97
8106,98
8164,99
8445,100
8549,101
8592,102
8606,103
8654,104
8662,105
8697,106
8709,107
8856,108
8968,109
9092,110
9119,111
9145,112
9274,113
9345,114
9572,115
9573,116
9591,117
9725,118
9968,119
10105,120
10239,121
10243,122
10251,123
10339,124
10360,125
10467,126
10589,127
10698,128
10877,129
10948,130
11055,131
11169,132
11173,133
11190,134
11257,135
11324,136
11510,137
11609,138
11730,139
11802,140
11851,141
11863,142
11952,143
12035,144
12143,145
12366,146
12381,147
12437,148
12533,149
12546,150
12591,151
12661,152
12701,153
12703,154
12716,155
12756,156
12782,157
12993,158
13009,159
13325,160
13564,161
13615,162
13626,163
13703,164
13958,165
13964,166
14002,167
14037,168
14054,169
14109,170
14199,171
14252,172
14263,173
14343,174
14464,175
14574,176
14613,177
14665,178
14859,179
14862,180
14867,181
14892,182
14970,183
14979,184
15065,185
15181,186
15248,187
15342,188
15346,189
15363,190
15410,191
15520,192
15590,193
15642,194
15644,195
15725,196
15820,197
15867,198
15899,199
15959,200
16122,201
16132,202
16133,203
16137,204
16179,205
16285,206
16326,207
16429,208
16487,209
16590,210
16612,211
16711,212
16728,213
16891,214
16935,215
16965,216
17021,217
17034,218
17081,219
17133,220
17175,221
17198,222
17238,223
17271,224
17312,225
17418,226
17442,227
17470,228
17471,229
17587,230
17604,231
17662,232
17705,233
17806,234
17993,235
18018,236
18092,237
18121,238
18174,239
18177,240
18258,241
18292,242
18512,243
18564,244
18749,245
18808,246
18852,247
19008,248
19111,249
19399,250
19497,251
19551,252
19587,253
19605,254
19607,255
19672,256
19835,257
19971,258
20091,259
20220,260
20361,261
20428,262
20568,263
20675,264
20692,265
20695,266
20764,267
20775,268
20910,269
20930,270
21017,271
21159,272
21233,273
21261,274
21520,275
21607,276
21663,277
21687,278
21728,279
21737,280
21871,281
21971,282
22000,283
22176,284
22201,285
22234,286
22333,287
22366,288
22451,289
22561,290
22770,291
22882,292
22951,293
23017,294
23033,295
23121,296
23128,297
23195,298
23202,299
23278,300
23416,301
23456,302
23481,303
23572,304
23613,305
23657,306
23689,307
23712,308
23737,309
23742,310
23874,311
23992,312
24024,313
24032,314
24137,315
24158,316
24177,317
24209,318
24247,319
24252,320
24449,321
24495,322
24515,323
24562,324
24678,325
24835,326
24948,327
24949,328
25063,329
25189,330
25199,331
25313,332
25337,333
25414,334
25452,335
25707,336
25714,337
25758,338
25775,339
25829,340
25855,341
25881,342
25926,343
26002,344
26020,345
26171,346
26259,347
26264,348
26324,349
26378,350
26544,351
26548,352
26647,353
26756,354
26813,355
26869,356
26897,357
26916,358
26939,359
27101,360
27147,361
27165,362
27191,363
27312,364
27340,365
27382,366
27506,367
27521,368
27830,369
27859,370
27932,371
27961,372
27970,373
28013,374
28049,375
28173,376
28221,377
28324,378
28567,379
28706,380
28750,381
28777,382
28781,383
28812,384
28880,385
28952,386
28990,387
29027,388
29034,389
29200,390
29259,391
29319,392
29424,393
29431,394
29483,395
29565,396
29592,397
29642,398
29678,399
29757,400
29853,401
29871,402
29876,403
29972,404
29999,405
30008,406
30013,407
30137,408
30144,409
30170,410
30476,411
30528,412
30542,413
30649,414
30671,415
30770,416
30980,417
31105,418
31152,419
31360,420
31372,421
31442,422
31494,423
31509,424
31511,425
31643,426
31734,427
31860,428
31893,429
31914,430
31933,431
32071,432
32117,433
32147,434
32153,435
32197,436
32232,437
32278,438
32287,439
32471,440
32479,441
32539,442
32540,443
32610,444
32709,445
32729,446
32761,447
32762,448
32790,449
32808,450
33257,451
33339,452
33416,453
33468,454
33476,455
33534,456
33638,457
33646,458
33849,459
33851,460
33893,461
33962,462
34006,463
34129,464
34233,465
34247,466
34251,467
34298,468
34401,469
34424,470
34486,471
34565,472
34605,473
34612,474
34649,475
34663,476
34751,477
34752,478
34807,479
34854,480
34903,481
35013,482
35077,483
35122,484
35635,485
35895,486
35960,487
36001,488
36162,489
36188,490
36214,491
36232,492
36234,493
36283,494
36312,495
36445,496
36592,497
36676,498
36773,499
36779,500
36829,501
36885,502
37117,503
37127,504
37169,505
37392,506
37504,507
37636,508
37793,509
37809,510
38125,511
38274,512
38290,513
38338,514
38340,515
38350,516
38466,517
38469,518
38568,519
38569,520
38694,521
38710,522
38743,523
38957,524
39201,525
39318,526
39458,527
39460,528
39577,529
39617,530
39626,531
39662,532
39907,533
40112,534
40116,535
40204,536
40212,537
40261,538
40319,539
40388,540
40579,541
40586,542
40595,543
40664,544
40729,545
40837,546
40918,547
40969,548
41030,549
41085,550
41150,551
41192,552
41204,553
41214,554
41216,555
41220,556
41295,557
41299,558
41375,559
41440,560
41446,561
41497,562
41701,563
41791,564
41888,565
42172,566
42232,567
42275,568
42293,569
42331,570
42333,571
42356,572
42402,573
42596,574
42650,575
42662,576
42709,577
42799,578
42965,579
42986,580
43102,581
43224,582
43264,583
43291,584
43354,585
43602,586
43654,587
43821,588
43885,589
43899,590
43955,591
44195,592
44203,593
44224,594
44385,595
44485,596
44557,597
44806,598
44984,599
45176,600
45229,601
45327,602
45462,603
45521,604
45522,605
45582,606
45710,607
46058,608
46081,609
46121,610
46169,611
46201,612
46207,613
46285,614
46376,615
46521,616
46619,617
46642,618
46672,619
46753,620
46843,621
46857,622
46882,623
46893,624
47012,625
47042,626
47206,627
47361,628
47363,629
47485,630
47771,631
47813,632
47822,633
47835,634
47843,635
47882,636
48148,637
48149,638
48294,639
48463,640
48519,641
48528,642
48563,643
48744,644
48854,645
48860,646
48910,647
48967,648
49015,649
49224,650
49255,651
49316,652
49339,653
49359,654
49417,655
49447,656
49582,657
49722,658
49764,659
49768,660
49773,661
49902,662
49905,663
49915,664
49916,665
50071,666
50152,667
50231,668
50417,669
50515,670
50529,671
50547,672
50574,673
50723,674
50734,675
50761,676
51004,677
51054,678
51122,679
51270,680
51538,681
51558,682
51593,683
51662,684
51700,685
51714,686
51719,687
51800,688
52029,689
52210,690
52277,691
52278,692
52285,693
52332,694
52347,695
52367,696
52378,697
52439,698
52478,699
52610,700
52625,701
52637,702
52698,703
52722,704
52736,705
52924,706
52928,707
52968,708
53144,709
53200,710
53657,711
53727,712
53931,713
54006,714
54021,715
54028,716
54033,717
54239,718
54307,719
54429,720
54450,721
54787,722
54834,723
54836,724
54929,725
54971,726
55113,727
55245,728
55317,729
55334,730
55343,731
55477,732
55488,733
55519,734
55577,735
55660,736
55673,737
55800,738
55887,739
55927,740
56157,741
56278,742
56310,743
56451,744
56472,745
56508,746
56522,747
56618,748
56767,749
56824,750
56863,751
56943,752
56980,753
56997,754
57073,755
57268,756
57292,757
57409,758
57420,759
57499,760
57519,761
57567,762
57588,763
57764,764
57775,765
57896,766
57970,767
58076,768
58095,769
58236,770
58370,771
58402,772
58451,773
58467,774
58571,775
58582,776
58669,777
58684,778
58755,779
58810,780
58847,781
58851,782
58965,783
58969,784
59069,785
59078,786
59122,787
59145,788
59178,789
59393,790
59600,791
59643,792
59914,793
60014,794
60174,795
60210,796
60268,797
60369,798
60612,799
60639,800
60645,801
60817,802
60882,803
61102,804
61290,805
61306,806
61452,807
61473,808
61488,809
61564,810
61680,811
61733,812
61833,813
61852,814
61895,815
62074,816
62226,817
62263,818
62493,819
62816,820
62865,821
62874,822
62942,823
62980,824
62992,825
63138,826
63183,827
63189,828
63199,829
63398,830
63452,831
63516,832
63543,833
63555,834
63642,835
63732,836
63761,837
63844,838
63901,839
64140,840
64267,841
64404,842
64408,843
64529,844
64635,845
64787,846
64817,847
64932,848
64969,849
64992,850
65051,851
65070,852
65222,853
65321,854
65334,855
65355,856
65395,857
65539,858
65546,859
65738,860
65797,861
65854,862
65934,863
65947,864
66236,865
66293,866
66335,867
66377,868
66542,869
66604,870
66645,871
66963,872
67049,873
67166,874
67172,875
67182,876
67186,877
67188,878
67240,879
67334,880
67427,881
67464,882
67523,883
67645,884
67789,885
67819,886
67860,887
68147,888
68192,889
68206,890
68322,891
68357,892
68562,893
68789,894
68908,895
68935,896
69141,897
69274,898
69297,899
69545,900
69550,901
69617,902
69753,903
69778,904
69843,905
69872,906
69923,907
69928,908
69981,909
70083,910
70333,911
70388,912
70395,913
70575,914
70581,915
70659,916
70701,917
70759,918
70777,919
70821,920
71030,921
71078,922
71117,923
71131,924
71153,925
71220,926
71272,927
71332,928
71346,929
71437,930
71710,931
71776,932
71997,933
72051,934
72052,935
72169,936
72238,937
72252,938
72255,939
72309,940
72385,941
72566,942
72654,943
72748,944
72780,945
72890,946
73052,947
73287,948
73391,949
73437,950
73507,951
73584,952
73673,953
73772,954
73935,955
73969,956
74010,957
74023,958
74060,959
74126,960
74133,961
74135,962
74153,963
74213,964
74225,965
74286,966
74332,967
74643,968
74705,969
74918,970
74998,971
75004,972
75057,973
75124,974
75146,975
75174,976
75607,977
75639,978
75642,979
75778,980
75903,981
76169,982
76183,983
76192,984
76289,985
76325,986
76340,987
76382,988
76394,989
76421,990
76882,991
76941,992
76964,993
77056,994
77108,995
77340,996
77368,997
77373,998
77488,999
77593,1000
77679,1001
77726,1002
77774,1003
77785,1004
77817,1005
77839,1006
77864,1007
77881,1008
77933,1009
77951,1010
78242,1011
78250,1012
78272,1013
78318,1014
78624,1015
78668,1016
78840,1017
78871,1018
78917,1019
78946,1020
79042,1021
79052,1022
79144,1023
79152,1024
79265,1025
79301,1026
79304,1027
79468,1028
79503,1029
79565,1030
79570,1031
79580,1032
79581,1033
79666,1034
79765,1035
79774,1036
79779,1037
79825,1038
79891,1039
79900,1040
79915,1041
79951,1042
80007,1043
80084,1044
80123,1045
80170,1046
80413,1047
80459,1048
80460,1049
80555,1050
80654,1051
80777,1052
80842,1053
80894,1054
80924,1055
80945,1056
81267,1057
81509,1058
81516,1059
81637,1060
81828,1061
81835,1062
81891,1063
81977,1064
82040,1065
82056,1066
82070,1067
82234,1068
82259,1069
82391,1070
82462,1071
82509,1072
82526,1073
82595,1074
82610,1075
82618,1076
82915,1077
82990,1078
83221,1079
83345,1080
83412,1081
83453,1082
83563,1083
83586,1084
83591,1085
83653,1086
83710,1087
83726,1088
83749,1089
83900,1090
84178,1091
84255,1092
84276,1093
84339,1094
84437,1095
84450,1096
84518,1097
84542,1098
84719,1099
84735,1100
84768,1101
84852,1102
85004,1103
85095,1104
85111,1105
85215,1106
85226,1107
85257,1108
85585,1109
85633,1110
85659,1111
85756,1112
85832,1113
85981,1114
86062,1115
86080,1116
86163,1117
86183,1118
86359,1119
86466,1120
86479,1121
86553,1122
86592,1123
86620,1124
86684,1125
86693,1126
86699,1127
86713,1128
86745,1129
86763,1130
86799,1131
86883,1132
86926,1133
86929,1134
87022,1135
87038,1136
87059,1137
87125,1138
87164,1139
87194,1140
87390,1141
87617,1142
87717,1143
88003,1144
88058,1145
88065,1146
88085,1147
88171,1148
88232,1149
88317,1150
88324,1151
88350,1152
88456,1153
88530,1154
88585,1155
88641,1156
88681,1157
88698,1158
88967,1159
89124,1160
89221,1161
89412,1162
89496,1163
89523,1164
89571,1165
89598,1166
89710,1167
89892,1168
89909,1169
89953,1170
89975,1171
89979,1172
89988,1173
90123,1174
90208,1175
90229,1176
90353,1177
90397,1178
90577,1179
90582,1180
90628,1181
90885,1182
90959,1183
91007,1184
91149,1185
91237,1186
91246,1187
91528,1188
91642,1189
91691,1190
91791,1191
91802,1192
92047,1193
92099,1194
92321,1195
92339,1196
92537,1197
92573,1198
92664,1199
92697,1200
92758,1201
92845,1202
92943,1203
93025,1204
93039,1205
93132,1206
93302,1207
93340,1208
93341,1209
93348,1210
93359,1211
93371,1212
93412,1213
93439,1214
93553,1215
93627,1216
93858,1217
93883,1218
93887,1219
93926,1220
94320,1221
94617,1222
94719,1223
94962,1224
94985,1225
95068,1226
95093,1227
95127,1228
95181,1229
95229,1230
95260,1231
95440,1232
95526,1233
95822,1234
95841,1235
95842,1236
95969,1237
96077,1238
96095,1239
96117,1240
96144,1241
96160,1242
96162,1243
96165,1244
96195,1245
96198,1246
96219,1247
96277,1248
96352,1249
96399,1250
96532,1251
96663,1252
96676,1253
96703,1254
96714,1255
96715,1256
96734,1257
96790,1258
96998,1259
97044,1260
97077,1261
97093,1262
97192,1263
97270,1264
97310,1265
97457,1266
97591,1267
97629,1268
97689,1269
97783,1270
97861,1271
97918,1272
97940,1273
97989,1274
98107,1275
98196,1276
98202,1277
98210,1278
98277,1279
98311,1280
98375,1281
98534,1282
98573,1283
98599,1284
98826,1285
98968,1286
98988,1287
99124,1288
99148,1289
99399,1290
99663,1291
99828,1292
99856,1293
100037,1294
100217,1295
100242,1296
100344,1297
100502,1298
100536,1299
100655,1300
100797,1301
100868,1302
100925,1303
100941,1304
101009,1305
101209,1306
101219,1307
101264,1308
101268,1309
101315,1310
101331,1311
101384,1312
101601,1313
101651,1314
101832,1315
101841,1316
101844,1317
101857,1318
101899,1319
102050,1320
102373,1321
102386,1322
102461,1323
102493,1324
102576,1325
102601,1326
102773,1327
102777,1328
102878,1329
102923,1330
103145,1331
103366,1332
103375,1333
103439,1334
103532,1335
103576,1336
103590,1337
103617,1338
103631,1339
103848,1340
103882,1341
104173,1342
104191,1343
104215,1344
104254,1345
104570,1346
104583,1347
104657,1348
104710,1349
104732,1350
104808,1351
104918,1352
104924,1353
104930,1354
105087,1355
105091,1356
105169,1357
105284,1358
105393,1359
105902,1360
105907,1361
105956,1362
105966,1363
105972,1364
106003,1365
106007,1366
106080,1367
106171,1368
106247,1369
106395,1370
106490,1371
106844,1372
106920,1373
107002,1374
107068,1375
107129,1376
107170,1377
107192,1378
107232,1379
107341,1380
107419,1381
107428,1382
107606,1383
107640,1384
107672,1385
107686,1386
107750,1387
107784,1388
107847,1389
107981,1390
108095,1391
108234,1392
108286,1393
108333,1394
108427,1395
108481,1396
108503,1397
108513,1398
108603,1399
108646,1400
108783,1401
108919,1402
108996,1403
109325,1404
109520,1405
109594,1406
109688,1407
109816,1408
109848,1409
109854,1410
110020,1411
110080,1412
110097,1413
110113,1414
110168,1415
110189,1416
110336,1417
110386,1418
110520,1419
110619,1420
110694,1421
110704,1422
110851,1423
110870,1424
110885,1425
110979,1426
111023,1427
111046,1428
111064,1429
111239,1430
111288,1431
111357,1432
111394,1433
111415,1434
111445,1435
111484,1436
111540,1437
111664,1438
111685,1439
111698,1440
111740,1441
111754,1442
111757,1443
111857,1444
111871,1445
111932,1446
111942,1447
111956,1448
112070,1449
112111,1450
112142,1451
112171,1452
112336,1453
112456,1454
112495,1455
113097,1456
113190,1457
113191,1458
113213,1459
113291,1460
113337,1461
113364,1462
113371,1463
113424,1464
113446,1465
113481,1466
113512,1467
113605,1468
113831,1469
113960,1470
113973,1471
114070,1472
114079,1473
114267,1474
114303,1475
114330,1476
114456,1477
114794,1478
114847,1479
114857,1480
115071,1481
115109,1482
115513,1483
115583,1484
115603,1485
115698,1486
115708,1487
115734,1488
115801,1489
115833,1490
115870,1491
115959,1492
116081,1493
116101,1494
116114,1495
116122,1496
116172,1497
116245,1498
116396,1499
116458,1500
116535,1501
116609,1502
116682,1503
116735,1504
116765,1505
116769,1506
116995,1507
117032,1508
117113,1509
117119,1510
